ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
601988.SH,2025-12-19,5.69,5.69,5.63,5.66,5.7,-0.04,-0.7018,2398602.97,1358087.146
601988.SH,2025-12-22,5.65,5.67,5.61,5.67,5.66,0.01,0.1767,1665176.02,940397.556
601988.SH,2025-12-23,5.66,5.71,5.63,5.7,5.67,0.03,0.5291,2606330.92,1480489.709
601988.SH,2025-12-24,5.7,5.73,5.66,5.67,5.7,-0.03,-0.5263,1841497.63,1046784.273
601988.SH,2025-12-25,5.66,5.71,5.63,5.65,5.67,-0.02,-0.3527,2268690.1,1285967.452
601988.SH,2025-12-26,5.65,5.65,5.6,5.61,5.65,-0.04,-0.708,1544955.18,868355.134
601988.SH,2025-12-29,5.61,5.68,5.59,5.68,5.61,0.07,1.2478,2527610.75,1425343.422
601988.SH,2025-12-30,5.66,5.7,5.61,5.67,5.68,-0.01,-0.1761,2366887.0,1339549.015
601988.SH,2025-12-31,5.66,5.76,5.66,5.73,5.67,0.06,1.0582,3023692.71,1728942.716
601988.SH,2026-01-05,5.73,5.76,5.64,5.67,5.73,-0.06,-1.0471,3461974.26,1964034.946
601988.SH,2026-01-06,5.67,5.67,5.55,5.59,5.67,-0.08,-1.4109,5606428.36,3133843.907
601988.SH,2026-01-07,5.58,5.6,5.55,5.56,5.59,-0.03,-0.5367,2744756.97,1528918.706
601988.SH,2026-01-08,5.56,5.56,5.48,5.52,5.56,-0.04,-0.7194,3166872.04,1742625.353
601988.SH,2026-01-09,5.51,5.52,5.46,5.49,5.52,-0.03,-0.5435,2276233.24,1248627.643
601988.SH,2026-01-12,5.47,5.54,5.44,5.53,5.49,0.04,0.7286,2615674.52,1436981.079
601988.SH,2026-01-13,5.52,5.61,5.52,5.55,5.53,0.02,0.3617,3537673.23,1969724.042
601988.SH,2026-01-14,5.53,5.54,5.46,5.47,5.55,-0.08,-1.4414,3623348.58,1986896.75
601988.SH,2026-01-15,5.46,5.49,5.42,5.43,5.47,-0.04,-0.7313,2276585.33,1240839.852
601988.SH,2026-01-16,5.43,5.44,5.38,5.4,5.43,-0.03,-0.5525,2862660.15,1548257.786
601988.SH,2026-01-19,5.38,5.42,5.35,5.36,5.4,-0.04,-0.7407,2536826.27,1363336.281
601988.SH,2026-01-20,5.36,5.45,5.34,5.44,5.36,0.08,1.4925,3174406.78,1716541.504
601988.SH,2026-01-21,5.44,5.48,5.33,5.33,5.44,-0.11,-2.0221,3641203.3,1959298.227
